Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,-0.08186183712308251,-6.936818046499126,59.19899763113102
10.89800660063444,-0.08221747844269503,-6.410264165968921,56.94635012150975
11.87665478674715,-0.08327597546757884,-5.909981876304502,54.62352107128686
12.94318622594268,-0.08351284840877883,-5.438464709533037,52.25250654623287
14.10549289235635,-0.08478360417023502,-4.995749882758984,49.83403534093584
15.37217546461017,-0.08519432645481465,-4.583421071866312,47.39188707305868
16.75260696794321,-0.08619119261050398,-4.20231173918221,44.93769675387951
18.25700213144788,-0.08673488001465245,-3.851970761300412,42.49251860129708
19.89649297363161,-0.08806542413725761,-3.531443312532334,40.06889155591795
21.68321117561135,-0.08848558797397105,-3.242366146582368,37.68134843459896
23.6303778514762,-0.08943506024927617,-2.981169733625753,35.35248292080037
25.75240138008735,-0.09068447704328096,-2.748165337738065,33.08297287579407
28.06498402223782,-0.09098263378691984,-2.541243041308708,30.90386821203152
30.58523811210473,-0.09144225758249078,-2.357798753098594,28.79997719816396
33.33181268276933,-0.0922162721485727,-2.196524431729293,26.79656806420967
36.32503146279294,-0.0926743706284531,-2.055210083520492,24.89087993727719
39.58704326497703,-0.09331537943066558,-1.932149230130263,23.08446824592179
43.14198588013199,-0.09338553213555678,-1.825317313541836,21.38574052043018
47.01616468861553,-0.09350534477453926,-1.733177442155493,19.79225217400182
51.23824731130468,-0.0934963497934532,-1.65334900545279,18.29020420647481
55.83947574035371,-0.09399007466076956,-1.584382479525454,16.89095516667707
60.85389751943401,-0.09429595052037062,-1.524295128232238,15.59038310415646
66.31861768411223,-0.09468903488285715,-1.4730409206907,14.37753205624225
72.27407332664055,-0.0948478399370426,-1.429188044033811,13.25573101283459
78.76433281684645,-0.09455344403515523,-1.392297435220926,12.21355958543896
85.83742189325585,-0.09494773697133051,-1.359538213540453,11.24769054700266
93.54567903741435,-0.09516467447402935,-1.332343274247048,10.35882260523337
101.9461427610568,-0.09508503454692391,-1.30911180065201,9.534192234491222
111.1009736719218,-0.09536815232731541,-1.288555934436949,8.774774612786828
121.0779144413514,-0.09538742415830075,-1.270961792296484,8.07100308157672
131.9507910772895,-0.09572941270549208,-1.256340154092623,7.427122770808616
