Frequency (Hz),Channel 1 (dBV),Phase (deg),Channel 2 (dBV),Phase (deg)
0,16.9991419941829,0,-49.07658997010412,0
42.98250440140845,16.68957811750154,0.02049192869907339,-49.48976723680519,0.7007928795375225
85.9650088028169,13.18870963003083,0.04054244828656405,-53.18932813245539,3.76986584221329
128.9475132042253,2.748746793609489,0.05705179429901884,-64.40235711744917,13.52945492954001
171.9300176056338,-20.10268856311553,0.06314994125153617,-80.35270938532918,137.5466368080438
214.9125220070422,-79.97766609969047,93.62772793224137,-76.8907837510494,168.6991468945211
257.8950264084507,-77.01109700668086,87.13329907542291,-76.18838490947456,11.48118328627055
300.8775308098591,-77.67404012165905,98.24464211883085,-73.98551357686004,21.19697133261433
343.8600352112676,-78.32828965252354,111.0289266056342,-74.08304267792927,10.06503906380372
386.842539612676,-78.60635437230809,130.5273985625691,-75.33668358994274,169.0418648877634
429.8250440140845,-78.18251328504452,142.2754813164294,-80.2562976691906,3.046045956691076
472.8075484154929,-78.88395188387199,146.732295252254,-80.26383101744187,66.45993709028542
515.7900528169014,-77.68160067684369,159.8206983329347,-73.61976078477008,91.80248893063975
558.7725572183099,-75.53342008413011,172.2176566436967,-72.89750987371139,95.91358315441857
601.7550616197183,-75.62866238379459,5.744778465140664,-73.50671919620007,102.141524422414
644.7375660211267,-76.2530104411502,18.00891457433892,-79.49478053742575,136.2124511822379
687.7200704225352,-80.2186143403882,33.24818478529181,-75.23937319145894,4.724673556961754
730.7025748239437,-84.33732375871232,89.89735443254426,-71.79800343130961,13.69395888211787
773.6850792253521,-82.27967503556312,117.2194977802657,-70.1854364411225,37.64149650138881
816.6675836267605,-78.65710016239144,90.89564804013935,-54.53535991895443,99.37575777950381
859.650088028169,-54.3754569552997,68.2028273213874,-26.47060042262517,109.5672670272237
902.6325924295775,-41.51899404867314,67.48418241407403,-13.55224797911704,109.9936159698845
945.6150968309859,-36.52090530498785,67.38041998605408,-8.553583538056014,110.0793141314926
988.5976012323943,-35.75921289838674,67.34016824014488,-7.797725460463046,110.1193196795072
1031.580105633803,-35.83205605548829,67.38210169400743,-7.889528757773286,110.1631617636979
1074.562610035211,-38.04908103929651,67.41486096241474,-10.14772204598603,110.2119705918121
1117.54511443662,-46.14390029689488,67.49166021955592,-18.39986999978998,110.3085127969431
1160.527618838028,-63.12626215102153,70.80548946021312,-36.98161646156607,111.1132418640492
1203.510123239437,-78.29722190834988,104.7832795644702,-73.67830488822278,58.39488784164811
1246.492627640845,-80.64374097547446,116.9383943797051,-77.47354796212005,76.72004683903093
1289.475132042253,-85.02222525311049,119.2534542506422,-81.15153882848021,147.591168574738
1332.457636443662,-95.28894775531776,49.74299392751589,-74.69862719697258,21.88816743407935
1375.44014084507,-86.48471808380614,1.685804135455239,-72.46818663966758,44.43484366791532
1418.422645246479,-88.28256331101942,168.0874920315404,-76.44247578433395,54.90072415557322
1461.405149647887,-91.84072674427456,63.81086574270779,-84.6267470225135,76.55386252664414
1504.387654049296,-83.8248284114551,5.963254919843514,-95.71402407567702,12.20027372646595
1547.370158450704,-78.46386913762339,168.5033443645757,-85.85332356568469,168.9876935747516
1590.352662852113,-76.73638898912819,167.7463231107883,-86.19092338866336,49.89918946395492
1633.335167253521,-78.48537195367086,169.3744749097733,-74.66415608183178,42.41195606665919
1676.317671654929,-81.40811296512138,176.8387921558085,-74.32801835676275,42.63897458375479
1719.300176056338,-84.61527636440245,17.56607900781581,-76.79284235978157,36.97555417047568
1762.282680457746,-86.99151955652579,50.0052384487357,-79.96431372255431,9.842805281402192
1805.265184859155,-92.79836633083555,50.03559399930856,-82.71517244492011,111.39234373681
1848.247689260563,-101.0393717667971,13.44380891445367,-54.60379428855422,117.3458478421082
1891.230193661972,-81.52894643960614,52.54948721063104,-38.97646180515763,119.9089950135111
1934.21269806338,-72.9218669864418,54.63596916192433,-32.25818052623598,120.3155361983261
1977.195202464789,-70.53704613477916,56.12494717941858,-30.78128837103524,120.4870337865969
2020.177706866197,-70.19724529542151,55.46325006717254,-30.78540922270115,120.670618559922
2063.160211267606,-71.3350968866051,54.53634434817639,-32.09628765253392,120.8788710924415
2106.142715669014,-76.65115231706424,65.81191231937902,-38.45898983089394,121.4505230256046
