Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-49.86646599903827,180,-67.58866663393653,180
12.20703125,-50.14206802614632,0.03549698456368287,-67.52109014008884,177.2012758458366
24.4140625,-53.52926873454848,179.8384477359411,-70.38760222110471,173.4948141005619
36.62109375,-63.38505644409651,178.6064279004429,-78.72533169710343,173.5936244824943
48.828125,-78.6462023602996,165.792722822703,-82.20240578390289,21.07512333585965
61.03515625,-81.62230660469183,155.315252169779,-78.74472326337916,28.55849849039058
73.2421875,-82.54538707154394,152.8237074027587,-78.65766951999176,31.28693336204228
85.44921875,-83.59547247220004,147.7803743790032,-80.62639753052089,30.51841977489411
97.65625,-83.32997247243617,148.7967355889795,-83.11356207722895,30.3535005925831
109.86328125,-82.89914798463444,147.3798750833405,-83.84238012329264,36.34140539146293
122.0703125,-84.26400778766585,141.4782684556185,-82.81854120188527,33.42988039869415
134.27734375,-90.78946435714451,123.4853518456502,-82.53969996806916,29.825783064507
146.484375,-91.11609995164493,3.747109697917276,-83.12168110321397,32.38130734625302
158.69140625,-83.05890388832103,166.7334684350014,-87.71189919206191,30.43621382358069
170.8984375,-81.16056551586243,163.0358591463034,-107.3389151765306,156.1026035087048
183.10546875,-82.34493811789454,155.6371092418217,-89.46553725629174,179.3061789565423
195.3125,-85.47204430082968,156.3647957793752,-86.5723785494165,171.6282916086275
207.51953125,-89.45342717786411,174.537227874232,-87.55924316069914,146.4436374046778
219.7265625,-89.13899685880052,173.4649069727275,-88.47040900905527,109.5978134220818
231.93359375,-85.85136226680966,172.1244842261424,-88.87920831520836,93.03613721572205
244.140625,-86.15996747429584,4.527361132804421,-89.67029386395876,86.03392241997336
256.34765625,-89.76594296189563,19.87422646896864,-93.04661198389147,104.445505867469
268.5546875,-91.65718420615121,57.3345944779351,-93.04798968686136,160.879516818354
280.76171875,-87.89299726800864,90.65220339927289,-89.93362570358451,163.5669462351225
292.96875,-88.58813538061513,94.40218097589752,-86.59703304967069,147.2044908913039
305.17578125,-90.83827040921497,62.91435856506867,-83.40648077845158,135.6394609390703
317.3828125,-89.1049246719099,44.7219821895451,-81.51808327074957,123.8761877198968
329.58984375,-88.30108666792341,67.85384104850779,-81.49080272636873,114.8790341906667
341.796875,-83.82440964894209,103.7220094747272,-82.30326843146156,106.6866090771561
354.00390625,-80.4582303015045,114.9659544503909,-83.35013415436205,91.67831371518638
366.2109375,-80.25472669813948,116.9247934049192,-84.50687482003248,60.08556470148832
378.41796875,-83.54625662917118,128.4851116298744,-83.29995457533025,34.81460256374756
390.625,-94.51390313710441,1.422746013012266,-83.57594184451213,30.75432629082923
402.83203125,-87.36709765690216,121.3916132012377,-85.49333622338767,32.35882476779042
415.0390625,-83.90216708643086,123.9581451495127,-88.22912789294419,28.51126413587248
427.24609375,-84.97783701072565,112.8743412257731,-94.67566421377717,10.8517231429307
439.453125,-90.1957539212294,113.151448841195,-96.75288866438079,166.4529580178734
451.66015625,-97.83129829162517,17.63532198530624,-90.97793874446685,155.9941851544105
463.8671875,-87.77189531951761,52.35519869678004,-90.56224237373371,141.4315271529223
476.07421875,-83.13798487707983,57.2144392880354,-97.08479305703166,139.6707546313425
488.28125,-82.30496788167312,63.76426491215025,-103.5051977189803,99.51077567041843
500.48828125,-84.05742472546063,71.79400716264333,-90.35663838762164,130.5779701728376
512.6953125,-88.19770508290149,90.86186456641393,-86.75843492249632,124.2942649755137
524.90234375,-95.0559641557944,151.9314015376482,-84.92165262544491,104.5666748993413
537.109375,-96.95916922216381,33.60578753239952,-84.2056537587072,103.0785945214779
549.31640625,-98.96327316834545,164.7001298368737,-88.73795241955551,123.0387775562723
561.5234375,-88.48057286138595,12.65265446007333,-96.05907825232917,30.35197508352124
573.73046875,-85.99679166629956,18.32610991080302,-90.04672780156039,75.8606620147534
585.9375,-86.12801492446472,8.767039757419264,-88.06398234055658,95.2920318870349
598.14453125,-86.42433979244728,174.5525424216291,-88.85139794248349,142.2681436688381
610.3515625,-86.85694233748305,170.7724824427654,-86.65448354016546,23.02785512782938
622.55859375,-85.27630942226335,4.94774721816284,-84.28480720262812,53.93090260222618
634.765625,-82.38421817921494,19.62747244673343,-83.30725078893587,73.02567693413994
646.97265625,-80.8270514713228,29.07906262570663,-83.78195693509775,86.68729471674783
659.1796875,-79.78940465268819,35.35958959096592,-88.2471514924668,105.601180199191
671.38671875,-80.54101830288759,36.2888656203794,-94.45048830843299,134.5480040639798
683.59375,-84.46258473014375,38.09629665437964,-96.31600133875224,107.8105612528309
695.80078125,-88.09439012198725,47.62943466661049,-95.81065201685914,94.49935797746215
708.0078125,-90.58807656946885,46.54227367166538,-92.29564538139995,107.558285367546
720.21484375,-96.84868375344365,16.77767846887733,-85.7980652085331,115.2870577519572
732.421875,-103.462799188563,7.315311613926378,-83.90056708055934,119.7564597676363
744.62890625,-94.56654096272547,80.01848468610601,-85.89585205588693,116.9629388291106
756.8359375,-86.39003302817983,66.87769533732664,-87.20325998435226,104.7167044845763
769.04296875,-82.2793001177282,67.40238541789073,-88.00900531758856,91.81977082922018
781.25,-80.93960589119369,79.49980545478363,-91.64826357106038,94.08464226880672
793.45703125,-81.05868149620929,85.44407619177598,-95.45472773285668,158.8173415074547
805.6640625,-81.30816187981497,97.20972026098194,-88.48705739302197,48.84672419528054
817.87109375,-80.60938553772087,114.8552122657606,-82.44376964194083,58.94062403301942
830.078125,-80.1510241834936,120.5579855196257,-80.64228014797756,55.15748136957532
842.28515625,-79.75764059288406,122.5231428292869,-82.34487909807572,51.22987823415472
854.4921875,-80.38335548844654,131.5594212887671,-86.6751105742176,19.6993673411839
866.69921875,-84.03124456934329,154.0381783579215,-84.94848377896108,136.8040188499238
878.90625,-87.60806571026662,18.6502262626332,-83.40749029850345,109.5018084469854
891.11328125,-88.55275008266376,59.52005280358456,-84.46267877193002,101.2154384020698
903.3203125,-87.14631222067105,103.0936365295097,-86.37248235141143,105.2339476143148
915.52734375,-87.80113330183656,129.2790444964481,-91.34398792742219,103.7928282388769
927.734375,-100.3691705559967,3.496536130853596,-94.6505620414584,60.87971464142454
939.94140625,-90.78616997844003,115.7354302758782,-86.93123395862108,38.16839680224241
952.1484375,-85.33325025638274,118.160406442565,-84.6005774068194,28.64686387975831
964.35546875,-82.16773059881993,120.4087953791477,-85.25201325835616,12.98035927353486
976.5625,-82.12267518622838,121.0157758158355,-84.74410232508805,174.4179509970155
988.76953125,-83.83086812283307,119.360738659297,-84.66238583227594,152.5758066076407
1000.9765625,-84.41381666306759,123.0434136310263,-85.53794557312118,141.828234884744
1013.18359375,-83.13262522990009,134.8636427753533,-83.92160309517315,156.9996381060885
1025.390625,-81.31198281657296,149.1624668796892,-82.10384014008446,165.5529210335703
1037.59765625,-79.83194434687563,164.328207680432,-83.53041830449592,165.933613082552
1049.8046875,-78.98829625932744,173.7449138367545,-85.10627488258528,156.737797894618
1062.01171875,-79.56947129477049,2.22477233812838,-84.42950122950357,137.0691067613066
1074.21875,-80.82036934357575,14.09959115485767,-83.26825871173753,122.1980299773264
1086.42578125,-83.73904056276722,20.04180610110797,-83.46177870276905,114.0053709083737
1098.6328125,-92.19209134704229,17.54469784925151,-84.18605987748901,108.5400048649206
1110.83984375,-102.337257477415,90.59668787087182,-84.53551084331102,111.4539908284228
1123.046875,-97.11081911528341,78.54415283533221,-85.08606036846297,117.308305345975
