Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-53.79933732101552,180,-83.121267962122,0
12.20703125,-54.14132592632554,1.083086756822701,-83.35321963518521,162.0886961963272
24.4140625,-57.72470721691004,2.648514574943694,-85.79337041325229,141.3842733783925
36.62109375,-68.52765527469822,7.403861062789774,-92.3234109880371,92.77493357028139
48.828125,-94.83138435910678,121.2322585817061,-92.40794002897081,19.48037526482577
61.03515625,-85.25206350988023,1.701723237586559,-90.41812406114434,2.322246939767993
73.2421875,-85.9336452090804,3.006687563164983,-90.32154082264698,1.750954317220839
85.44921875,-88.66557235956083,172.0676240024956,-96.89369340968597,8.333810083157378
97.65625,-87.67740624946173,145.1339521710771,-98.11195618116129,132.2811353785996
109.86328125,-85.12341361557381,130.7049529562989,-90.85194484255838,158.14696459496
122.0703125,-84.76333740340523,125.6379414180294,-87.95971468211469,2.995011353284324
134.27734375,-85.48741562228071,118.0307490644863,-86.51578901773406,16.68220716048756
146.484375,-84.81877439210024,101.5280821395235,-86.37285935119408,20.17923029461915
158.69140625,-84.17434989466588,77.58551511497932,-87.45540752053701,14.40737937772744
170.8984375,-84.82747866618233,52.8546456726727,-88.84589037557909,171.1572209202868
183.10546875,-87.64550944836162,50.17021991032266,-89.43835811887736,139.3636320078452
195.3125,-91.86272913590037,73.36314944245878,-90.10675764453305,117.9215457653939
207.51953125,-94.60130980367842,87.13527441640854,-95.20002813473468,103.0690547932212
219.7265625,-91.93614613280958,75.81483510028939,-105.0161531872459,127.7955725757852
231.93359375,-87.74187886546744,66.58916570433895,-92.40112819203028,66.81728673376959
244.140625,-84.70348320183105,51.60988792158147,-88.20504622445245,48.08473953837147
256.34765625,-83.91878521872451,33.83357788372605,-86.90790481309305,32.73624002295235
268.5546875,-88.18133866175009,19.00098094148851,-86.59398326988872,11.67432256116852
280.76171875,-95.92750155555741,6.597495507865496,-88.79660545617676,177.9506254764229
292.96875,-100.7694595456988,18.19313499032406,-93.16089264929873,161.4165296077801
305.17578125,-100.5697673005495,79.18948040451558,-93.04543739835502,98.79264403597904
317.3828125,-90.49986082879413,63.02973869389189,-89.63565945238862,85.63621407821211
329.58984375,-86.83960474303282,52.46930703013758,-91.66038793387001,107.3274168897962
341.796875,-89.69339682437311,49.58050929339408,-94.80822444769234,133.3846063844111
354.00390625,-93.02239422244818,59.58028869069539,-97.47050120891599,172.1906664436923
366.2109375,-91.92622960107393,109.254669563956,-92.98110903516964,33.46578443256476
378.41796875,-87.53757787340474,132.5828073523379,-91.71790771482665,24.22110614385256
390.625,-85.59824747016505,124.1420097531598,-93.92224970677931,162.1558072398397
402.83203125,-86.23654331863222,122.9285952280426,-92.27332621693898,126.1453514549941
415.0390625,-90.43337700487619,145.9921311346516,-93.22834292040514,107.0981239524044
427.24609375,-93.52271597282598,25.47694391013727,-95.54635629855049,17.18603042659925
439.453125,-88.58811536160017,70.23247569288962,-87.59175148204717,156.7078343587331
451.66015625,-84.32385440486402,69.32185271732148,-83.91671003477397,153.1433180969046
463.8671875,-82.82244385547358,65.36468915423718,-82.1546058219427,152.3380290171524
476.07421875,-82.98823652804441,73.3245854350355,-81.76633374512511,150.3436341618679
488.28125,-83.80671696025472,79.60499560935362,-82.95063919621936,155.7142441143973
500.48828125,-86.26900991577133,87.37301611727045,-85.25828299095592,164.6084694562918
512.6953125,-87.65640283078969,110.5731483368713,-88.17842150967221,155.0972416024582
524.90234375,-86.81805694195648,122.7786444943377,-92.95460674433303,115.8831274514408
537.109375,-90.24813189176791,129.0641052915495,-92.985160944152,78.56950030803104
549.31640625,-99.66954773667024,137.415516780315,-88.33845744618785,97.3925589830033
561.5234375,-102.5487448968062,2.503319047325423,-85.97429087720778,105.6842902930084
573.73046875,-90.00749485981068,27.37459363840671,-87.93203952948872,102.9791929786499
585.9375,-85.31021802256616,14.82691509624415,-88.30024285897474,94.96455085743284
598.14453125,-85.74376493515928,178.2214697043597,-87.04531967550264,87.55878132111248
610.3515625,-89.15153591062369,169.2807389762231,-88.24803876191139,72.81445990395751
622.55859375,-91.14932186282417,178.008719037276,-91.30535189825139,68.73351967773728
634.765625,-91.41048659493181,32.19834939418756,-96.5469607608442,117.2909250937442
646.97265625,-92.55332073007946,57.8442361368254,-93.5115403953769,35.46458000472636
659.1796875,-94.66203173607582,19.66835890952344,-85.48791523161627,76.02834979748685
671.38671875,-91.82079627140759,177.4455338904262,-82.5688667997663,80.72642605031474
683.59375,-97.19105157915945,166.0785112679814,-82.69802280761873,70.8322965117024
695.80078125,-99.57073837308531,96.9399409555228,-83.20298030677561,67.22684255969639
708.0078125,-97.03754436966385,121.3131552983007,-84.98122640793727,69.88987001170668
720.21484375,-91.82410328135697,131.9307045722245,-87.08320260568078,61.57742002566198
732.421875,-87.96093068623405,120.7317314478704,-88.11589803188191,75.46485756581924
744.62890625,-87.73573882110944,107.0723242315924,-88.41693737262568,114.0640450457748
756.8359375,-92.33039737622252,89.32877884293566,-89.11971927356342,132.9919751890024
769.04296875,-102.6670670212342,155.9095664679459,-89.02104375933,159.5280469030165
781.25,-95.63146069356273,102.8881619997718,-85.57011242273583,16.42582883511773
793.45703125,-95.28052389292324,61.9633382882085,-84.55982582092136,23.49969932611885
805.6640625,-97.72465169336685,31.76548758596868,-84.74004099145381,2.005998758718166
817.87109375,-104.1537787153379,122.4244889924654,-83.98984224536815,157.7777927449655
830.078125,-99.39675727128019,148.3828846044973,-83.71302600119853,135.2415524790358
842.28515625,-90.00164789325655,142.6685181583621,-83.65410937014798,125.8202277096871
854.4921875,-87.95376365068405,154.9296513819191,-85.89511484975277,124.1684876545352
866.69921875,-88.3353019900043,156.2765075518214,-91.73330668088522,106.8933322711097
