Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000001,0.02968993616487478,0.003396530903461962,-2.226659483543173
51.76511068010279,0.02939015359697595,0.00309242211855692,-2.325418873140094
53.59253367446583,0.02934351962802707,0.0007708622189781189,-2.38952719174064
55.48446874571718,0.02930670407965539,0.003258572231439041,-2.482104798644279
57.44319331297507,0.02911148439506389,0.00313327601428061,-2.569331064415238
59.47106519329388,0.02929530345110953,0.001166623962887174,-2.656320080786212
61.57052543988932,0.02976278207291974,0.001482263332609937,-2.749518730965463
63.74410128055909,0.02936334422829758,0.00156850029244633,-2.849621197758267
65.99440915983645,0.0293933886463252,0.001650796745469555,-2.948643804055735
68.32415788853847,0.02947885132213027,0.001313517912149487,-3.052365951389703
70.73615190450022,0.02934582330875059,0.0009358088743517139,-3.16155188139814
73.23329464842033,0.0293359118867403,0.001185792202627008,-3.271082565071026
75.81859205888114,0.02933815938987826,0.001164277853721971,-3.385790502629206
78.49515619075088,0.0293627088419517,0.0008255020204366794,-3.506017735943637
81.26620896132349,0.02942067077341405,0.0008979518477927607,-3.628437157658034
84.1350860287054,0.02942769688554087,0.0003584769192338382,-3.755646732862573
87.10524080711809,0.02953018196493153,0.0003478883188292738,-3.888101668283724
90.18024862394947,0.02946569072988565,0.0001844713637076572,-4.02351023444632
93.36381102355861,0.02945836270329942,9.347860539121919e-05,-4.167729943372848
96.65976022301429,0.02922132861082398,0.0001129929388641247,-4.31341834929907
100.0720637251305,0.02930678881446622,-0.000107446360363167,-4.463941591070946
103.6048290943536,0.02962180036838398,-0.0006221649046042063,-4.62067022646057
107.262308901247,0.02952513755419911,-0.0005520848560124052,-4.782867102648083
111.0489058415285,0.02941676902964045,-0.0008765874278952537,-4.950162654326562
114.9691780358207,0.02939247725829439,-0.0008567202229297719,-5.123706277974833
119.027844516494,0.02945510238379089,-0.001257765510835123,-5.307269260936721
123.2297909082075,0.02949161006403959,-0.001416642905077458,-5.49290134504308
127.5800753089857,0.02937906227159707,-0.001439792863829552,-5.685764838213117
132.0839343789098,0.02955046991498121,-0.001988928927238149,-5.885206096624479
136.7467896437541,0.02951427913929455,-0.002339467704390705,-6.094703999192234
141.5742540211532,0.02966088976198992,-0.002843172515593754,-6.306609132512364
146.5721385771596,0.02966686704896497,-0.00289502041450221,-6.528965751563334
151.7464595213207,0.02950357945384188,-0.003143717361053791,-6.758295595251205
157.1034454486979,0.02953788810319596,-0.003603547381782685,-6.997163871161444
162.6495448375468,0.0294453752160756,-0.004004845716345288,-7.242615021347717
