Frequency (Hz),Channel 1 (dBV),Phase (deg),Channel 2 (dBV),Phase (deg)
0,16.98714589341719,0,16.97310761342221,0
47.13139478764479,16.67758381338735,0.02200017171628335,16.66358006250321,0.0228859832891476
94.26278957528957,13.17666613451335,0.04386760598993909,13.16296207038423,0.04563950170529786
141.3941843629344,2.736290785735083,0.06384348677450617,2.724723483026807,0.07116091764358844
188.5255791505791,-20.12296971049328,0.03423313303334915,-20.10284830467321,0.1199459183367845
235.6569739382239,-76.1167367996009,44.84789728558987,-79.3097553649157,167.9298963615098
282.7883687258687,-77.80987762359408,42.5227140885876,-108.0561543807381,52.90191601427576
329.9197635135135,-84.00775894900806,13.17235450646359,-83.48745293813634,123.9715736149891
377.0511583011583,-87.15361472958057,124.9427470452345,-79.23092267145806,165.2863149645544
424.1825530888031,-85.69135502926586,116.8284596185593,-78.65678482151873,176.8255530099308
471.3139478764479,-89.59892215235692,88.65997372707261,-81.72989976849718,154.5753905034086
518.4453426640927,-90.06298909292225,146.33173768476,-83.90803244526842,120.3776148286497
565.5767374517375,-82.58608775167937,111.1519718491797,-85.39783251143339,99.01166310395307
612.7081322393823,-80.00816577610351,100.3102527949222,-84.38889615459276,67.06300025065616
659.839527027027,-79.31691495004273,115.9204441711022,-90.80502510064493,98.99761871526248
706.9709218146718,-79.64004162436893,140.6113004212524,-83.50632934445586,29.04753621383644
754.1023166023166,-80.23945663222328,159.2873331261873,-78.99682646096375,46.62362275245496
801.2337113899614,-82.9539754442597,68.62651766076597,-60.93944161797306,12.54815303029642
848.3651061776062,-51.36354181382073,17.33577484576658,-32.21601369364237,16.14404686271508
895.4965009652509,-38.77518251492116,16.22153678509316,-19.71660026877485,16.19736657101702
942.6278957528957,-34.04991176815878,16.04164966832876,-14.99821590307246,16.20850124784558
989.7592905405405,-33.38870670579546,15.96357957632878,-14.34080240032452,16.22969420036237
1036.890685328185,-33.51051889483328,15.90220392918604,-14.45710355849204,16.25329855740539
1084.02208011583,-35.98349714973282,15.73300833997559,-16.91768098884506,16.27215030138863
1131.153474903475,-44.6000745813386,15.04937263069236,-25.5386732300979,16.30393258262224
1178.28486969112,-63.22898462726705,9.861458956177909,-44.67760894742685,16.55868067703469
1225.416264478765,-82.01609266288938,154.4022623545786,-79.63323539816371,20.66811240673151
1272.547659266409,-80.22811077820921,170.6488445562374,-75.1762123125001,10.83339596959385
1319.679054054054,-77.55695573315505,11.59622749350828,-74.21371308834023,13.06306334117978
1366.810448841699,-77.17712562055834,21.91814597061985,-73.75622449793147,18.97807079016346
1413.941843629344,-79.50806884486612,28.76194993574818,-73.13322967574204,28.40594859557306
1461.073238416988,-82.65286359097955,49.24362918062576,-75.69768067934767,46.33998564076392
1508.204633204633,-88.87787218591073,58.42531605240342,-79.15475564494045,48.6786959228578
1555.336027992278,-86.98790755553125,81.77515663265271,-84.86501938089175,39.3961362394631
1602.467422779923,-79.13409325081778,73.5231277177669,-98.36733558006783,50.34685746026084
1649.598817567567,-77.2207848468982,76.15952822346893,-90.05461335151585,68.97936695579858
1696.730212355212,-77.34835113811333,72.51931520189309,-85.45768621891952,102.7706403399187
1743.861607142857,-79.99859990424042,40.766253612387,-83.70075614613324,104.0925482865732
1790.993001930502,-80.68360838525163,171.8222469467155,-84.52108021202071,100.9912513274721
1838.124396718147,-82.82616367940646,156.9644437693188,-84.92758145220216,81.04990410374263
1885.255791505791,-91.06655956432155,177.7961510866793,-76.36313197645336,47.05485167002738
1932.387186293436,-90.05345965014355,102.7871148043174,-69.60912723102922,31.78735901624439
1979.518581081081,-85.03671472163134,131.9174378406798,-67.37888636215121,25.39512596797524
2026.649975868726,-88.09895778724081,146.8571438250409,-66.66744589753822,23.32967469698706
2073.781370656371,-102.9240937750453,51.06535532461122,-67.58895558205604,19.27996398635334
2120.912765444015,-89.77325368453448,117.9756102754359,-71.80429368619333,5.768313224256462
2168.04416023166,-91.10165255764642,163.042832164357,-76.37017445666243,157.6257788586331
2215.175555019305,-87.13228635267383,58.16183311173963,-77.95405259941026,141.5935928925389
2262.30694980695,-90.28273241474602,78.43578124197423,-79.84972153683007,126.74422616863
2309.438344594595,-99.80886282432481,7.076894553098918,-82.60020427154552,122.237902829362
2356.569739382239,-91.28857533775022,74.77020678150748,-86.54967418225299,160.1687053275146
2403.701134169884,-87.61451745456633,88.57651389823059,-88.84671287793658,10.42040676101684
2450.832528957529,-92.87076475720562,111.768212601142,-88.61830711108276,25.49787195269281
2497.963923745174,-91.87314576253289,17.79349981929298,-82.99999763201495,27.92920193326315
2545.095318532819,-87.44631729748082,55.18843394008731,-83.20753538748995,21.45611380341153
2592.226713320463,-82.88897337949869,50.19105019349208,-86.79640005652101,30.69581503846339
2639.358108108108,-80.64294121014825,24.20851912450378,-85.97817668864151,30.00925433241709
2686.489502895753,-80.08473778736011,9.802221336139114,-82.46385517209217,6.96736525576706
2733.620897683398,-80.90046085673299,179.9468255765761,-80.09297817889106,16.54557928702217
2780.752292471042,-84.57365910690112,152.3192349872526,-77.47094595295286,20.60778396790192
2827.883687258687,-87.68499996434676,50.16206843865845,-76.42989685713982,10.44092289997751
2875.015082046332,-79.77200731707208,19.1236661002678,-84.9224429491879,122.0619791305802
2922.146476833977,-78.20634149747045,18.87219646403695,-71.15344599320022,42.99045628791092
2969.277871621622,-77.88662487473482,5.246248124490061,-67.32227700575234,34.37553126329376
3016.409266409266,-77.77310321515472,178.519871115898,-65.64035547198822,29.49609177562777
3063.540661196911,-81.52463415189203,173.790849302696,-65.13307472758322,28.04894812048979
3110.672055984556,-86.9590584457153,114.6929094299179,-68.26955878073133,19.77562307246999
3157.803450772201,-82.80270941255829,45.81890450543906,-73.4342813606327,11.27035361632438
3204.934845559846,-77.48832526209627,22.66209588803182,-76.41630450774753,28.53771515959278
3252.06624034749,-75.68297418720989,17.62428087530995,-76.96420937361938,47.07336739615613
3299.197635135135,-76.69990954068494,7.200047456265936,-77.76057154254283,62.27586069989843
3346.32902992278,-79.3661135485396,174.9684919014669,-79.20415855097013,68.45606008858546
3393.460424710425,-82.87653137323119,176.3611305454412,-80.65151076594827,57.7920928881095
3440.59181949807,-82.91911930554053,12.18018005781356,-83.43204447585032,42.19951425715819
3487.723214285714,-79.77346485033425,23.39533967082843,-84.95186058628937,175.4606016101731
3534.854609073359,-76.87477912535627,30.5642143157899,-81.94263607488567,157.748340350893
3581.986003861004,-75.77760799863623,37.37936328006538,-82.44628701932969,174.1495170452939
3629.117398648649,-77.09560349658105,45.02094095721151,-82.1169636630858,30.09111530197102
3676.248793436293,-80.19037224969827,59.63838947309659,-80.27921778124131,57.98975293911008
3723.380188223938,-82.9060146345152,83.65463787373277,-78.674121463232,82.72251142170525
3770.511583011583,-86.03588719630798,118.4705222970269,-78.2716864039343,102.0792760106474
3817.642977799228,-88.47098977456002,4.259503788608562,-80.71872421972077,129.3464339626101
3864.774372586873,-85.65841642964669,70.66609889598494,-81.60007519927075,178.1075725137719
3911.905767374517,-81.40145959685282,92.70275787249983,-81.31731892502705,20.01855681448729
3959.037162162162,-79.42837635716538,94.70812500507748,-83.4528870722412,27.13687122816911
4006.168556949807,-80.86951759067779,102.4277007075436,-84.20443758981574,36.16984434930829
4053.299951737451,-85.04003993875554,138.9688653263366,-87.49694717032185,17.73860180431282
4100.431346525096,-85.02501891960225,4.260874908999179,-91.82603329946059,134.222745401979
4147.562741312741,-83.06757938864922,27.53225766523952,-96.84607114714061,159.7232605958054
4194.694136100386,-80.28504366841713,32.2629447576829,-88.11006730856565,164.1637675661647
4241.825530888031,-78.87838728962612,21.71392674144991,-88.43024840862807,134.447338579323
4288.956925675676,-78.27569089990943,13.73574925465838,-94.597520904901,137.1219730160282
4336.08832046332,-78.64662824351799,18.56468439186694,-83.66272610052584,124.1013546358889
4383.219715250965,-80.1820903515555,33.82082602565615,-78.60116071216864,127.238857140856
4430.35111003861,-81.86104770804997,47.81886354811493,-74.5736549549564,117.9888503489823
