Time (s),v_in (V),v_out (V)
-0.00095325,0.29314088441119907,0.1615474500403392
-0.0009530000000000001,0.2948189995859348,0.16359051489612114
-0.00095275,0.29448337655098766,0.16393102570541815
-0.0009525,0.297503983865512,0.16427153651471513
-0.0009522500000000001,0.2985108529703535,0.16631460137049706
-0.000952,0.30086021421498355,0.16631460137049706
-0.00095175,0.3025383293897193,0.16733613379838802
-0.0009515,0.3038808215295079,0.16631460137049706
-0.0009512500000000001,0.30421644456445507,0.16290949327752718
-0.000951,0.30690142884403226,0.1710817527006549
-0.00095075,0.3075726749139266,0.17176277431924886
-0.0009505000000000001,0.31059328222845095,0.17312481755643683
-0.00095025,0.3142851356128696,0.17516788241221876
-0.00095,0.31462075864781675,0.17550839322151573
-0.0009497500000000001,0.3149563816827639,0.17618941484010972
-0.0009495,0.31596325078760534,0.17482737160292175
-0.00094925,0.31797698899728827,0.17550839322151573
-0.0009490000000000001,0.31864823506718254,0.1758489040308127
-0.00094875,0.3189838581021297,0.1758489040308127
-0.0009485,0.31931948113707687,0.17823247969589165
-0.00094825,0.3209975963118126,0.1789135013144856
-0.0009480000000000001,0.32301133452149555,0.18061605536097056
-0.00094775,0.326367564870967,0.18061605536097056
-0.0009475,0.3280456800457028,0.18129707697956454
-0.0009472500000000001,0.3277100570107556,0.1823186094074555
-0.000947,0.32972379522043854,0.18436167426323744
-0.00094675,0.33308002556991007,0.1853832066911284
-0.0009465000000000001,0.33442251770969866,0.18708576073761332
-0.00094625,0.3347581407446458,0.18810729316550429
-0.000946,0.335093763779593,0.18810729316550429
-0.00094575,0.3354293868145401,0.18742627154691033
-0.0009455,0.3404637323387474,0.18912882559339525
-0.00094525,0.341806224478536,0.19015035802128621
-0.000945,0.3431487166183246,0.19117189044917718
-0.0009447500000000001,0.34482683179306034,0.19253393368636515
-0.0009445,0.34583370089790183,0.19287444449566213
-0.00094425,0.3465049469677961,0.19253393368636515
-0.0009440000000000001,0.3475118160726376,0.1932149553049591
-0.00094375,0.3478474391075847,0.19355546611425611
-0.0009435,0.3515392924920034,0.196620063397929
-0.0009432500000000001,0.35455989980652775,0.19798210663511695
-0.000943,0.3555667689113692,0.19866312825371094
-0.00094275,0.35724488408610494,0.20138721472808682
-0.0009425,0.35724488408610494,0.20547334443965068
-0.00094225,0.35825175319094643,0.20002517149089888
-0.000942,0.3589229992608407,0.19866312825371094
-0.00094175,0.36060111443557646,0.20138721472808682
-0.0009415000000000001,0.3616079835404179,0.2024087471559778
-0.00094125,0.3636217217501008,0.2027492579652748
-0.000941,0.36462859085494226,0.2024087471559778
-0.0009407500000000001,0.36563545995978375,0.20445181201175971
-0.0009405,0.3686560672743081,0.20479232282105672
-0.00094025,0.37100542851893814,0.20683538767683865
-0.0009400000000000001,0.37234792065872674,0.2075164092954326
-0.00093975,0.37436165886840966,0.20853794172332357
-0.0009395,0.3746972819033568,0.20955947415121454
-0.00093925,0.3753685279732511,0.20955947415121454
-0.0009390000000000001,0.3790603813576698,0.20921896334191756
-0.00093875,0.37939600439261695,0.21194304981629347
-0.0009385,0.3804028734974584,0.21228356062559045
-0.0009382500000000001,0.3810741195673527,0.21194304981629347
