Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
23213.33333333333,-0.008061284077607384,-64.06865132555231,166.3395534286485
23540,-0.01004007990147907,-64.60244288855178,166.2226077606224
23866.66666666667,-0.01334464066286998,-65.60080305412802,168.2478521749194
24193.33333333333,-0.00834156943981831,-65.11833200009919,166.0842712091592
24520,-0.008780041673345592,-65.64121377109154,163.7375290248406
24846.66666666667,-0.007718144018396778,-66.07848805091027,169.0615824248238
25173.33333333333,-0.02367285090581123,-65.09715951788112,158.7130769434313
25500,-0.007258805007580495,-66.08013470830002,157.0706228287145
25826.66666666667,-0.007012725474245593,-65.40171622856352,168.2565532228693
26153.33333333333,-0.005709102371105211,-66.35764128748286,163.7789673055083
26480,-0.007920702732087359,-69.28114929602486,158.0857396618063
26806.66666666667,-0.01264987165506148,-68.32589922592022,151.4266343104336
27133.33333333333,-0.003403562068127746,-67.2234664829578,153.9530797813954
27460,-0.004200826116558686,-66.96719311010811,163.850593027547
27786.66666666667,-0.002915100028893568,-67.12567830635285,155.4241239262173
28113.33333333333,-0.003085372021047162,-67.52219430793372,164.3170652729004
28440,-0.002426445561787286,-67.94948356922409,161.4292618822666
28766.66666666667,-0.01637130149805193,-70.56626788421012,156.8944876773915
29093.33333333333,-0.001926095883956157,-68.44188520136522,161.7065772006027
29420,0.0005912486126184308,-69.86055789174772,142.5434157834881
29746.66666666667,0.0007285207619175714,-70.23721002453955,139.8097515705045
30073.33333333333,0.001484822479860791,-68.93770022265018,153.7122802166304
30400,-0.00552059458420314,-68.65485651829911,149.7910660326878
30726.66666666667,-0.001548162081524004,-68.76907370667328,159.6562962320545
31053.33333333333,0.001038078522604465,-70.57191378412324,137.0582016279046
31380,0.001900011719545237,-70.82593897739001,141.6325368130707
31706.66666666667,0.001545628656075439,-71.0086292691927,149.7131117002609
32033.33333333333,-0.001385059904237245,-69.66222429776083,148.7923000336143
32360,-0.006108360715401218,-68.66303474585258,136.6082077674126
32686.66666666667,0.001875565136655107,-70.20221093508923,151.2418427668215
33013.33333333333,0.0009167892591571621,-73.40828419671418,150.8265222779086
33340,-0.004458051587366799,-68.11920447979243,145.4312898032723
33666.66666666667,-0.009405435966082985,-67.94453957258395,150.4801941041571
33993.33333333334,-0.0009768078957551247,-68.23214325146037,153.0945060954613
34320,-0.0008195833406357029,-69.97981899707624,135.9366794200787
34646.66666666666,-0.00257830058380826,-70.43817551043853,138.5047708899554
34973.33333333334,-0.00139281954806799,-70.27549792105425,155.0560573721855
35300,-0.006248028417827364,-71.44900960276192,140.0649376120466
35626.66666666666,-0.01886940446072019,-71.74214343881276,138.3888787680625
35953.33333333334,-0.006346483623870051,-69.7780763835125,126.0944680608127
36280,-0.006705932100156731,-69.79383129004901,144.449137791275
36606.66666666666,-0.008484853735185552,-71.16083934424744,151.8275386854594
36933.33333333334,-0.008358111632992651,-74.55764562777433,134.2671630559184
37260,-0.01025631228040107,-71.40053164442365,128.7437502931969
37586.66666666666,-0.02205651793852129,-71.91668265077891,102.5457839649068
37913.33333333334,-0.01367756573842407,-71.67229525129942,122.4297009839894
38240,-0.01154936240611417,-70.14917806637234,134.5667764952111
38566.66666666666,-0.01124649638666113,-71.15287438826745,131.9557383162096
38893.33333333334,-0.0136747581784719,-71.87911225713162,124.6273047925749
39220,-0.01437378969972981,-70.32535256046779,140.2608539583794
39546.66666666666,-0.01382683315469102,-70.2165421416302,128.8169654168059
39873.33333333334,-0.0176136781024944,-71.72789444975523,135.7718702949808
40200,-0.02691238441305965,-69.83283388858534,122.0435027521245
40526.66666666666,-0.02209343476966844,-70.00313760494262,133.8713883152511
40853.33333333334,-0.01672471916437828,-71.56791042196396,124.7424464017089
41180,-0.01844356449193084,-69.66385337162988,123.5545395266999
41506.66666666666,-0.01950473880879783,-73.43457031569483,113.6924459003665
41833.33333333334,-0.01908367398692303,-72.44049221694112,104.8643751522941
42160,-0.01979600204215046,-72.74577726429769,120.6015493387936
42486.66666666666,-0.02625080984385854,-70.44969566340002,149.2726907609915
42813.33333333334,-0.03129518009627855,-73.54690604912365,95.81949215744238
43140,-0.02366111006533007,-72.59598880592593,124.0258909208375
43466.66666666666,-0.02373126632970523,-74.68095287642707,138.4126071868211
43793.33333333334,-0.02273664840651487,-71.5066733387719,111.204604376125
44120,-0.02339728595869913,-70.40804264117344,106.5289733268196
44446.66666666666,-0.02426220312916536,-69.61024657301223,114.3575566930993
44773.33333333334,-0.02537919404329238,-69.29110731154447,112.9425288529234
45100,-0.03823588370547594,-71.66626123927512,105.0096345765942
45426.66666666666,-0.0308609240741538,-69.30609884856739,130.2824042024763
45753.33333333334,-0.0267463017936849,-71.60574384457475,123.6827962912046
46080,-0.02686697768330491,-73.7101998865438,132.1240222441044
46406.66666666666,-0.02872037109568491,-71.32752349683811,96.72413701334642
46733.33333333334,-0.0285646512516299,-72.07655941835564,111.8676144126253
47060,-0.0291452682447829,-71.28333929099652,85.01688124606474
47386.66666666666,-0.03354135738863837,-73.50183099024105,94.11197762745067
47713.33333333334,-0.04007889197669735,-74.24873655023576,123.5688231627819
48040,-0.03143873220725782,-70.20789223664468,97.16824466996337
48366.66666666666,-0.02898825103511743,-70.31388365322633,101.6322728581277
48693.33333333334,-0.03115135225929034,-69.60740073125818,113.614742664824
49020,-0.03216408151842282,-69.50633772051584,95.08072587889484
49346.66666666666,-0.03122576817305599,-71.59464528608935,97.41758800507844
49673.33333333334,-0.0327809526432857,-70.52001358386582,108.7725996237847
50000,-0.03738279941215067,-72.46320628627461,88.40278667660485
