Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
19293.33333333333,-0.005082145918212298,-26.63701376197987,-86.73319920599739
19620,-0.001416607564461736,-26.82768355671486,-86.83423327912986
19946.66666666667,-0.003044415545790135,-26.98662523803655,-86.89037895274944
20273.33333333333,-0.00624652537799982,-27.16629606734309,-86.9090576581554
20600,-0.002185364869645918,-27.31946486041742,-86.9269851092571
20926.66666666667,-0.00270477509895466,-27.50556109263253,-87.00977579600604
21253.33333333333,-0.008490577390285641,-27.6577407059904,-86.96074688557309
21580,-0.004573694849755915,-27.82304528614889,-87.06408091739658
21906.66666666667,-0.003422051952619127,-27.98671228043609,-87.13150168526109
22233.33333333333,-0.008958907058343582,-28.13723755485166,-87.21814020416068
22560,-0.007806526321037787,-28.29948346358696,-87.17514467242175
22886.66666666667,-0.005821371690664694,-28.44431358904271,-87.27342460558992
23213.33333333333,-0.005972332316651795,-28.58514102414835,-87.31191715911027
23540,-0.007630632519544602,-28.74013709857586,-87.2517814146525
23866.66666666667,-0.01094776250928541,-28.88581210728724,-87.33187499503106
24193.33333333333,-0.006179981072798659,-29.02017699340901,-87.36864576487662
24520,-0.005494379453229856,-29.16905879134046,-87.3332591150517
24846.66666666667,-0.006919141685331012,-29.29868165988344,-87.43179261867266
25173.33333333333,-0.0226197609349133,-29.41895336679022,-87.45823077090024
25500,-0.006034075490202006,-29.57448856036259,-87.41518404121132
25826.66666666667,-0.005606776483359928,-29.68495861204328,-87.51758747743978
26153.33333333333,-0.006133011411901605,-29.83574005489501,-87.49139108671113
26480,-0.007135180600474796,-29.95638707121128,-87.5819333196756
26806.66666666667,-0.01227027918404605,-30.09381762532442,-87.62431644786409
27133.33333333333,-0.003334671139616911,-30.2205660993682,-87.72042242950609
27460,-0.003644685217842479,-30.34031793459911,-87.6256956066476
27786.66666666667,-0.001858556800296273,-30.46783492174629,-87.69078587611673
28113.33333333333,-0.0008218583909599091,-30.56291360573751,-87.68129923460998
28440,-0.001163648056914804,-30.70881680394904,-87.74263102771806
28766.66666666667,-0.01574413453298198,-30.80275142282895,-87.73284676107545
29093.33333333333,-0.0009686030156068375,-30.95623540923541,-87.64777355281815
29420,0.00064951341105084,-31.06535195042965,-87.67788630273782
29746.66666666667,0.001637818722284693,-31.17765628172415,-87.75586266426414
30073.33333333333,0.002245517301152268,-31.28881216863178,-87.80001892560232
30400,-0.004694370704927744,-31.42936184140147,-87.87856328157463
30726.66666666667,-0.0006898769145479025,-31.54654951542943,-87.9070840963027
31053.33333333333,0.003382947962310046,-31.62576942604048,-87.75450420943537
31380,0.003043928660678969,-31.77354035458675,-87.86240609555601
31706.66666666667,0.004559791173474392,-31.8867067756422,-88.0935222198855
32033.33333333333,0.000462100229825328,-31.98214461095617,-88.13622989726737
32360,-0.005997974610938067,-32.09440765272413,-87.89749081020848
32686.66666666667,0.00456728942822707,-32.22379685654004,-88.00193256025727
33013.33333333333,0.003667380642960462,-32.29529811236299,-88.08644391566962
33340,-0.002035345833508922,-32.41677653168023,-88.09818823051194
33666.66666666667,-0.008311890985441139,-32.54150080128463,-88.23348856653956
33993.33333333334,-0.0003329659749403882,-32.60999037674836,-88.3156840179459
34320,4.561500980909809e-05,-32.73631528326079,-88.3429279823859
34646.66666666666,-0.001305165028754653,-32.82464139641951,-88.34539710484677
34973.33333333334,-0.0009837794694280348,-32.96980665511875,-88.25001306134777
35300,-0.005486355455439886,-33.04643279785188,-88.02188541527002
35626.66666666666,-0.0173177334056139,-33.17753012391447,-88.20257580470184
35953.33333333334,-0.005736334276503868,-33.26800414628097,-88.28730428187204
36280,-0.004581001654935675,-33.37147914556289,-88.29260017656908
36606.66666666666,-0.007461268207387198,-33.46705751632653,-88.13096304869227
36933.33333333334,-0.006054564744369496,-33.56529313888044,-88.19164295328015
37260,-0.008316875962284812,-33.64649108627182,-88.23871760111523
37586.66666666666,-0.01935495686458122,-33.81187616852045,-88.48777333742119
37913.33333333334,-0.01180843274428043,-33.86380383754209,-88.25071621553505
38240,-0.009084120050738428,-33.96414339160226,-88.13539887053905
38566.66666666666,-0.01141026803095453,-34.06629005079431,-88.04710867934197
38893.33333333334,-0.01043852008985085,-34.15476058637283,-88.38648929933954
39220,-0.01061026608446362,-34.24583333913715,-88.09246489001004
39546.66666666666,-0.01214684651477284,-34.32546421427725,-88.15975872752745
39873.33333333334,-0.01450929878845625,-34.44691566511289,-88.19209288222476
40200,-0.0244134578545711,-34.60060104245082,-88.01449924785548
40526.66666666666,-0.01920507915143044,-34.63482457914571,-88.24638196240274
40853.33333333334,-0.01645046027483461,-34.73954774849797,-88.34021808098592
41180,-0.0162614723206338,-34.8429755180938,-88.15908741936909
41506.66666666666,-0.01628424897548727,-34.92171215806826,-88.42147820795579
41833.33333333334,-0.0184995998585543,-34.96285082086433,-88.52426586972297
42160,-0.01774826707350379,-35.11719255676012,-88.54237108153501
42486.66666666666,-0.02355613384965486,-35.13439969988504,-88.50548993607036
42813.33333333334,-0.02981489984522182,-35.29803200185368,-88.03067433607713
43140,-0.02148892555260493,-35.38180138853707,-88.43037864838595
43466.66666666666,-0.02006016782618052,-35.47410099389592,-87.95901509249995
43793.33333333334,-0.02003608661964989,-35.56163541125664,-88.35667100710569
44120,-0.02221838027819669,-35.67349320787243,-88.10688782534976
44446.66666666666,-0.02185974364990904,-35.75289624864876,-87.99182116767852
44773.33333333334,-0.02318780656355968,-35.85977452923149,-88.19156073004558
45100,-0.03494866918777934,-35.98396600847742,-88.59885738728505
45426.66666666666,-0.02837078305707215,-36.00121337156956,-88.01854543403495
45753.33333333334,-0.02511374313388812,-36.14479051531678,-88.28158699021651
46080,-0.0233449749975401,-36.21629467493728,-88.22941816393569
46406.66666666666,-0.02747985402104931,-36.34389134010606,-88.3796619974122
46733.33333333334,-0.02576031776712038,-36.42661711709061,-88.19147436215583
47060,-0.02794661374152668,-36.51444270516919,-88.15908299427781
47386.66666666666,-0.03317527600296069,-36.56241326336204,-88.26034540267528
47713.33333333334,-0.03796519338489646,-36.64844139253433,-88.40679863247868
48040,-0.02889648686290758,-36.78436145316216,-88.34876726839133
48366.66666666666,-0.02780494005051825,-36.88834479018971,-88.15634042603487
48693.33333333334,-0.03022504496970674,-36.95098199619282,-88.35760252739804
49020,-0.03116784376457092,-37.01364291787343,-88.32826802362068
49346.66666666666,-0.03060199465403085,-37.12148084974335,-88.02758137293503
49673.33333333334,-0.03072391980455223,-37.24914120991927,-88.0433933963707
50000,-0.03411855728892003,-37.35443809952454,-88.33226480056385
