binary,metric,value,config
gcc_s,system.l2.demandMissRate::cpu.icache.prefetcher,0.730769,nextline
gcc_s,system.l2.overallMissRate::cpu.dcache.prefetcher,0.456375,nextline
gcc_s,system.l2.overallMissRate::cpu.icache.prefetcher,0.730769,nextline
gcc_s,system.l2.demandAvgMissLatency::cpu.dcache.prefetcher,31575.500573,nextline
gcc_s,system.l2.demandAvgMissLatency::cpu.icache.prefetcher,56469.789474,nextline
gcc_s,system.l2.overallAvgMissLatency::cpu.dcache.prefetcher,31575.500573,nextline
gcc_s,system.l2.overallAvgMissLatency::cpu.icache.prefetcher,56469.789474,nextline
gcc_s,system.l2.demandMshrHits::cpu.dcache.prefetcher,232486,nextline
gcc_s,system.l2.demandMshrHits::cpu.icache.prefetcher,71,nextline
gcc_s,system.l2.overallMshrHits::cpu.dcache.prefetcher,232486,nextline
gcc_s,system.l2.overallMshrHits::cpu.icache.prefetcher,71,nextline
gcc_s,system.l2.demandMshrMisses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l2.demandMshrMisses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l2.overallMshrMisses::cpu.dcache.prefetcher,9343,nextline
gcc_s,system.l2.overallMshrMisses::cpu.icache.prefetcher,43,nextline
gcc_s,system.l2.overallMshrMisses::l2.prefetcher,257599,nextline
gcc_s,system.l2.demandMshrMissLatency::cpu.dcache.prefetcher,658886408,nextline
gcc_s,system.l2.demandMshrMissLatency::cpu.icache.prefetcher,3342987,nextline
gcc_s,system.l2.overallMshrMissLatency::cpu.dcache.prefetcher,658886408,nextline
gcc_s,system.l2.overallMshrMissLatency::cpu.icache.prefetcher,3342987,nextline
gcc_s,system.l2.overallMshrMissLatency::l2.prefetcher,10184571372,nextline
gcc_s,system.l2.demandMshrMissRate::cpu.dcache.prefetcher,0.017632,nextline
gcc_s,system.l2.demandMshrMissRate::cpu.icache.prefetcher,0.275641,nextline
gcc_s,system.l2.overallMshrMissRate::cpu.dcache.prefetcher,0.017632,nextline
gcc_s,system.l2.overallMshrMissRate::cpu.icache.prefetcher,0.275641,nextline
gcc_s,system.l2.overallMshrMissRate::l2.prefetcher,inf,nextline
gcc_s,system.l2.demandAvgMshrMissLatency::cpu.dcache.prefetcher,70521.931714,nextline
