Time (s),v_in (V),v_out (V)
-0.0010184999999999999,-0.11699046429421978,-0.009388976226748818
-0.0010182499999999998,-0.11598359518937694,-0.009388976226748353
-0.001018,-0.11296298787485533,-0.008367443798858318
-0.00101775,-0.11128487270011897,-0.008367443798857854
-0.0010175,-0.1106136266302239,-0.008026932989560864
-0.00101725,-0.10960675752538244,-0.007686422180263877
-0.001017,-0.10725739628075238,-0.008707954608154841
-0.0010167499999999999,-0.10759301931569908,-0.00870795460815453
-0.0010164999999999998,-0.10658615021085656,-0.008026932989560554
-0.00101625,-0.10322991986138809,-0.007345911370967198
-0.001016,-0.09987368951191505,-0.008026932989560864
-0.00101575,-0.1002093125468622,-0.007686422180263877
-0.0010155,-0.09920244344202075,-0.0070054005616699
-0.0010152499999999999,-0.0961818361274964,-0.007345911370966888
-0.0010149999999999998,-0.09349685184791827,-0.006664889752372757
-0.00101475,-0.09148311363823719,-0.006324378943076079
-0.0010145,-0.09215435970813027,-0.006664889752372758
-0.00101425,-0.09014062149844768,-0.0066648897523729125
-0.001014,-0.08812688328876477,-0.0070054005616699
-0.00101375,-0.08611314507908185,-0.006324378943075924
-0.0010134999999999999,-0.08510627597423903,-0.007005400561670519
-0.0010132499999999998,-0.08208566865971513,-0.008367443798856924
-0.001013,-0.08007193045003405,-0.006324378943076853
-0.00101275,-0.08074317651992713,-0.006324378943075924
-0.0010125,-0.07940068438013884,-0.0070054005616699
-0.00101225,-0.07570883099572016,-0.005983868133778936
-0.0010119999999999999,-0.0733594697510901,-0.005643357324481948
-0.0010117499999999998,-0.07134573154140736,-0.007005400561669281
-0.0010114999999999998,-0.07168135457635359,-0.005643357324482103
-0.00101125,-0.07000323940161936,-0.005983868133778781
-0.001011,-0.06866074726183,-0.006324378943075924
-0.00101075,-0.06832512422688285,-0.00530284651518496
-0.0010105,-0.06866074726183,-0.00530284651518496
-0.0010102499999999999,-0.06496889387740995,-0.005983868133778626
-0.0010099999999999998,-0.061948286562885896,-0.0053028465151848045
-0.00100975,-0.05959892531825797,-0.004962335705888126
-0.0010095,-0.059598925318256904,-0.004621824896591138
-0.00100925,-0.059263302283309754,-0.005643357324481948
-0.001009,-0.056578318003732544,-0.004962335705887971
-0.0010087499999999999,-0.0549002028289968,-0.003940803277997007
-0.0010084999999999998,-0.05523582586394257,-0.004281314087294151
-0.0010082499999999998,-0.05221521854941821,-0.004621824896591139
-0.001008,-0.0491946112348966,-0.004962335705887817
-0.00100775,-0.048858988199948064,-0.003940803277997007
-0.0010075,-0.048187742130053765,-0.004281314087293995
-0.00100725,-0.04650962695531802,-0.004621824896590984
-0.0010069999999999999,-0.045502757850476555,-0.004281314087293995
-0.0010067499999999998,-0.04516713481552895,-0.004281314087293995
-0.0010065,-0.044160265710688415,-0.004281314087293995
-0.00100625,-0.04080403536121796,-0.0036002924687003287
-0.001006,-0.036776558941850626,-0.0022382492315120668
-0.00100575,-0.034427197697220566,-0.0025787600408090547
-0.0010054999999999999,-0.034427197697220566,-0.0029192708501060427
-0.0010052499999999999,-0.033084705557431204,-0.0025787600408092096
-0.0010049999999999998,-0.03140659038269514,-0.0029192708501060427
-0.00100475,-0.029057229138067218,-0.0029192708501060427
-0.0010045,-0.027043490928383238,0.00014532643356685027
-0.00100425,-0.02670786789343609,-0.0025787600408090547
