Time (s),v_in (V),v_out (V)
-0.0010184999999999999,-0.11866857946895552,-0.008026932989560864
-0.0010182499999999998,-0.11396985697969464,-0.010069997845342482
-0.001018,-0.11229174180496042,-0.009388976226749127
-0.00101775,-0.11262736483990665,-0.007686422180264651
-0.0010175,-0.1112848727001182,-0.008026932989560864
-0.00101725,-0.10960675752538244,-0.008367443798857854
-0.001017,-0.10692177324580524,-0.009388976226748818
-0.0010167499999999999,-0.10524365807106947,-0.007345911370967198
-0.0010164999999999998,-0.1052436580710678,-0.00802693298956133
-0.00101625,-0.1015518046866525,-0.009048465417451364
-0.001016,-0.09853119737212646,-0.009388976226748818
-0.00101575,-0.09920244344202075,-0.008707954608154841
-0.0010155,-0.0988668204070736,-0.007686422180263877
-0.0010152499999999999,-0.09450372095276063,-0.007345911370966888
-0.0010149999999999998,-0.09450372095276002,-0.0070054005616699
-0.00101475,-0.09316122881297265,-0.0070054005616699
-0.0010145,-0.09114749060329004,-0.006324378943076234
-0.00101425,-0.08913375239360621,-0.007345911370966888
-0.001014,-0.0871200141839233,-0.006324378943075924
-0.00101375,-0.0851062759742404,-0.007686422180263877
-0.0010134999999999999,-0.0830925377645575,-0.007005400561669281
-0.0010132499999999998,-0.08309253776455673,-0.005643357324481948
-0.001013,-0.0814144225898225,-0.005643357324481948
-0.00101275,-0.08107879955487474,-0.006324378943075614
-0.0010125,-0.07906506134519169,-0.0066648897523729125
-0.00101225,-0.07772256920540307,-0.0070054005616699
-0.0010119999999999999,-0.07470196189087872,-0.0070054005616699
-0.0010117499999999998,-0.07369509278603727,-0.00598386813377878
-0.0010114999999999998,-0.07369509278603589,-0.005643357324481329
-0.00101125,-0.07067448547151427,-0.004281314087294615
-0.001011,-0.06698263208709423,-0.003600292468700019
-0.00101075,-0.06496889387741132,-0.004621824896590984
-0.0010105,-0.06362640173762273,-0.004621824896590984
-0.0010102499999999999,-0.06329077870267497,-0.004621824896591139
-0.0010099999999999998,-0.06194828656288681,-0.004962335705888281
-0.00100975,-0.06161266352793997,-0.0056433573244816385
-0.0010095,-0.060605794423098824,-0.005302846515185115
-0.00100925,-0.05993454835320407,-0.0025787600408090547
-0.001009,-0.057920810143521156,-0.003600292468700019
-0.0010087499999999999,-0.055571448898891096,-0.004281314087293995
-0.0010084999999999998,-0.05355771068920773,-0.0053028465151843404
-0.0010082499999999998,-0.05255084158436582,-0.003940803277997317
-0.001008,-0.05053710337468474,-0.004621824896590674
-0.00100775,-0.04953023426984238,-0.004962335705887971
-0.0010075,-0.047516496060159466,-0.003259781659403031
-0.00100725,-0.045838380885423705,-0.003259781659403031
-0.0010069999999999999,-0.04416026571068796,-0.003600292468700019
-0.0010067499999999998,-0.041475281431110594,-0.0029192708501055782
-0.0010065,-0.04113965839616375,-0.0018977384222155429
-0.00100625,-0.0381190510816406,-0.002578760040808745
-0.001006,-0.036776558941850626,-0.0022382492315120668
-0.00100575,-0.036776558941850626,-0.003259781659403031
-0.0010054999999999999,-0.03576968983700918,-0.003940803277997007
-0.0010052499999999999,-0.034427197697219344,-0.0032597816594028763
-0.0010049999999999998,-0.0317422134176429,-0.0029192708501063524
-0.00100475,-0.03073534431280236,-0.0036002924686997094
-0.0010045,-0.0293928521730133,-0.003259781659403031
-0.00100425,-0.027714736998277544,-0.0008762059943241141
-0.001004,-0.02670786789343609,-0.000535695185027126
-0.0010037499999999999,-0.023351637543964576,-0.0022382492315120668
-0.0010034999999999998,-0.021002276299333603,-0.0015572276129179356
-0.00100325,-0.018988538089652524,-0.001216716803621257
-0.001003,-0.01965978415954561,-0.0018977384222147687
-0.00100275,-0.0163035538100744,-0.0015572276129180904
-0.0010025,-0.01361856953049719,-0.0008762059943241141
-0.0010022499999999999,-0.01361856953049719,-0.000535695185027126
-0.0010019999999999999,-0.011604831320814435,-0.0005356951850275906
-0.0010017499999999998,-0.011940454355761129,-0.0015572276129177808
-0.0010015,-0.011269208285867437,-0.0008762059943244237
-0.00100125,-0.00824860097134277,-0.0018977384222150784
-0.001001,-0.004892370621871258,0.0004858372428638384
-0.00100075,-0.0035498784820826527,0.001847880480051791
-0.0010004999999999999,-0.00287863241218835,-0.0012167168036211022
-0.0010002499999999998,-0.0018717633073467438,-0.00019518437572967333
-0.001,-0.0015361402723998979,0.0008263480521603619
-0.00099975,0.0008132209722292454,0.0008263480521608265
-0.0009995,0.0031625822168603723,0.0011668588614578146
-0.00099925,0.006518812566331885,0.001847880480051791
-0.0009989999999999999,0.0075256816711733385,0.0025289020986457673
-0.0009987499999999999,0.00853255077601525,0.0015073696707549576
-0.0009984999999999998,0.00953941988085762,0.0018478804800510166
-0.00099825,0.012560027195379233,0.0001453264335676246
-0.000998,0.013902519335169212,0.0011668588614578146
-0.00099775,0.014909388440010666,0.0008263480521608265
-0.0009975,0.016923126649693573,0.0011668588614578146
-0.0009972499999999999,0.017929995754535025,0.001847880480051791
-0.0009969999999999998,0.01759437271958864,0.0018478804800514813
-0.00099675,0.019272487894322867,0.0011668588614581242
-0.0009965,0.02262871824379362,0.0008263480521609813
-0.00099625,0.0236355873486366,0.0008263480521608265
-0.000996,0.025313702523372356,0.0011668588614578146
-0.0009957499999999999,0.02665619466316096,0.001847880480051791
-0.0009954999999999999,0.026656194663162183,0.002188391289349398
-0.0009952499999999998,0.029341178942739087,0.0035504345265367316
-0.000995,0.031354917152420156,0.0035504345265367316
-0.00099475,0.03403990143199828,0.0028694129079427553
-0.0009945,0.034711147501892595,0.0028694129079427553
-0.00099425,0.03605363964168119,0.0025289020986457673
-0.0009939999999999999,0.037396131781469805,0.002188391289348779
-0.0009937499999999998,0.03840300088631217,0.003550434526536577
-0.0009935,0.04041673909599325,0.003209923717239898
-0.00099325,0.03974549302610017,0.003550434526536577
-0.000993,0.043101723375571374,0.0042314561451307076
-0.00099275,0.045451084620201435,0.0042314561451307076
-0.0009925,0.048136068899778645,0.0038909453358337196
-0.0009922499999999999,0.05014980710946276,0.0025289020986457673
-0.0009919999999999998,0.05283479138903906,0.0025289020986466963
-0.00099175,0.05350603745893276,0.004571966954426767
-0.0009915,0.053506037458933065,0.005934010191615649
-0.00099125,0.05518415263366881,0.004912477763724684
-0.000991,0.05719789084335172,0.0042314561451307076
-0.0009907499999999999,0.06021849815787608,0.0042314561451307076
-0.0009904999999999998,0.060554121192823385,0.004571966954427851
-0.00099025,0.06088974422777023,0.00491247776372453
-0.00099,0.06290348243745238,0.004571966954427851
-0.00098975,0.06458159761218905,0.004912477763724684
-0.0009895,0.06693095885681911,0.00559349938231866
-0.00098925,0.06894469706650203,0.005934010191615649
-0.0009889999999999999,0.07028718920629047,0.005252988573022137
-0.0009887499999999998,0.06995156617134439,0.006274521000912636
-0.0009885,0.07196530438102547,0.006274521000912636
-0.00098825,0.07465028866060237,0.006615031810209469
-0.000988,0.07565715776544504,0.007977075047397577
-0.00098775,0.07767089597512795,0.006615031810209625
-0.0009874999999999999,0.07968463418481087,0.005934010191615649
-0.0009872499999999998,0.08102712632459977,0.006955542619506148
-0.0009869999999999998,0.08169837239449468,0.005934010191616114
-0.00098675,0.08371211060417576,0.006955542619506148
-0.0009865,0.08337648756922952,0.007636564238100589
-0.00098625,0.08639709488375388,0.0072960534288036005
-0.000986,0.08975332523322539,0.0072960534288036005
-0.0009857499999999999,0.08874645612838394,0.007977075047397577
-0.0009854999999999998,0.09176706344290815,0.007977075047397423
-0.00098525,0.0914314404079613,0.007636564238100744
-0.000985,0.09411642468753714,0.007636564238100589
-0.00098475,0.09713703200206272,0.007636564238100589
-0.0009845,0.09780827807195702,0.0072960534288036005
-0.0009842499999999999,0.10049326235153423,0.008658096665991554
-0.0009839999999999998,0.09881514717679955,0.008658096665991244
-0.0009837499999999998,0.1011645084214287,0.007977075047397577
-0.0009835,0.10150013145637554,0.007977075047397577
-0.00098325,0.10284262359616429,0.009679629093882518
-0.000983,0.10653447698058297,0.008658096665991554
-0.00098275,0.10888383822521301,0.0072960534288036005
-0.0009824999999999999,0.11022633036500162,0.008658096665991554
-0.0009822499999999998,0.11324693767952553,0.009679629093882673
-0.000982,0.11224006857468499,0.010020139903179352
-0.00098175,0.11425380678436652,0.009679629093882673
-0.0009815,0.11593192195910319,0.009679629093882518
-0.00098125,0.11895252927362755,0.00933911828458553
-0.0009809999999999999,0.12096626748331046,0.00933911828458553
-0.0009807499999999999,0.12197313658815252,0.010020139903179506
