Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
992.954226171715,0.02806331863294832,-16.27518626668363,-91.44925995481549
996.5355518347814,0.02822489803603714,-16.23775761748026,-91.44797986279418
1000.12979440093,0.02819009257137985,-16.19970954348992,-91.46192201169441
1003.737000458046,0.02803284604512615,-16.16274911415163,-91.46210036378531
1007.357216762043,0.02816905159212418,-16.12651704110274,-91.48829385148156
1010.990490237472,0.02813187274711804,-16.08969404249744,-91.47665797850595
1014.636867978129,0.02832062437890042,-16.05105941824646,-91.4915608399113
1018.296397247663,0.02838406267997481,-16.01527692748349,-91.49015706478497
1021.969125480194,0.02848609363775503,-15.97713944219913,-91.48743449821953
1025.65510028092,0.02819758252830146,-15.94013372568463,-91.50369909799909
1029.354369426742,0.02810595408838488,-15.90274413784492,-91.50169564811972
1033.066980866879,0.02832624889573622,-15.86545044973505,-91.52686424815272
1036.79298272349,0.02811534470673163,-15.82801612722783,-91.51057381148679
1040.532423292296,0.02827387181480598,-15.78897891270796,-91.51682758497105
1044.285351043213,0.02841661534130169,-15.75138424408347,-91.5226984424323
1048.051814620969,0.02860908970860345,-15.71452565550375,-91.53707177991345
1051.831862845746,0.02832356581455451,-15.67721429267129,-91.53446003769592
1055.625544713805,0.02872953353292669,-15.63930336376361,-91.54245209003705
1059.432909398125,0.02841330310962814,-15.60043688621803,-91.55033707994704
1063.254006249037,0.02841377909145705,-15.5633342019955,-91.56552909126387
1067.088884794867,0.02857577023412335,-15.52784161955319,-91.56744871840937
1070.937594742578,0.02828034884025292,-15.48714341731672,-91.58586123284098
1074.800185978411,0.02815122299445564,-15.44774282761374,-91.58287900707812
1078.676708568534,0.02846828461075332,-15.4112374204168,-91.58566197776888
1082.567212759692,0.02847434542911004,-15.37152158440657,-91.58486496196713
1086.471748979854,0.02846638346766268,-15.335234083994,-91.59548911962816
1090.390367838872,0.02852828266772331,-15.2961308915278,-91.59684565775473
1094.323120129133,0.02864933633957321,-15.26039362771608,-91.61217570600577
1098.270056826221,0.02851459020986881,-15.2182658748254,-91.62158405994344
1102.231229089572,0.02865485842811082,-15.18098612706798,-91.62835628645745
1106.206688263145,0.02841311180403803,-15.14397577425535,-91.63042237474576
1110.196485876078,0.0284621273391966,-15.10452110209565,-91.63574486416151
1114.200673643367,0.02875846543538605,-15.06463768518249,-91.64743329740425
1118.219303466525,0.02858148097759453,-15.02935412025126,-91.6416491652613
1122.252427434264,0.02832464953051303,-14.99000618783639,-91.65266554236187
1126.300097823164,0.02812687097715682,-14.95059546480033,-91.66442000349168
1130.362367098355,0.02834162088578507,-14.9115465038253,-91.67907121677187
1134.439287914193,0.02870247490558962,-14.87216683156228,-91.67676565658307
1138.530913114945,0.02858463351838301,-14.83429387323924,-91.68364171571841
1142.637295735475,0.02834130874793256,-14.79465852378623,-91.69077821452433
1146.758489001927,0.02854165112845813,-14.75517069722704,-91.69708878575739
1150.89454633242,0.02867485403430246,-14.71679337533546,-91.70398200758379
1155.045521337738,0.02875318167183954,-14.67655190287164,-91.71785342867071
1159.211467822024,0.02859333388584516,-14.63737230392083,-91.71062500882944
1163.392439783478,0.02867703647118563,-14.59887292637828,-91.72299008205715
1167.58849141506,0.02901677153757394,-14.55943781781573,-91.7276871415785
1171.799677105187,0.02852558194221285,-14.52032396564063,-91.73600728307977
1176.026051438443,0.02894894085908796,-14.48125525688313,-91.74330881681507
1180.267669196282,0.02852181480497111,-14.4407650667792,-91.75554373674592
1184.524585357741,0.02840229321186645,-14.40126199228592,-91.76727103174812
1188.796855100155,0.02894182550663463,-14.36088244624091,-91.76492564026991
1193.084533799864,0.02880698617384871,-14.32178378322945,-91.77229963277568
1197.38767703294,0.02916935420804595,-14.28138072844268,-91.77796682409301
1201.706340575901,0.02897797489675445,-14.24111250271063,-91.7894772158983
1206.040580406438,0.02875805386066677,-14.20051694327795,-91.80139963417459
1210.390452704139,0.02890143504472483,-14.16094200190931,-91.81991737040387
1214.756013851215,0.02904631227546221,-14.12017044316654,-91.8244260095791
1219.137320433234,0.02892953872324776,-14.08026278480766,-91.82977319281974
1223.534429239853,0.02858913459136868,-14.0392967068078,-91.82819645244898
