Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
251.7850823588336,0.03276585087811235,-43.8187106151551,-90.37517113476184
263.6513477112815,0.03281215227593282,-43.54930299289948,-90.76029816383863
276.0768529205772,0.03295013107259715,-43.03695441630413,-90.90833501082318
289.0879541491857,0.03309732276877058,-42.65702760623445,-90.63978874815433
302.7122496872418,0.03292000506095613,-42.21586821018039,-90.59510953117717
316.978638492223,0.03277218312038042,-41.84640019161053,-90.32813672875082
331.9173814875124,0.03286908279541866,-41.4304680559734,-90.55893881719066
347.5601657498752,0.03315812796190893,-40.97574645167679,-90.70722123313067
363.9401717219967,0.03290205840669846,-40.6104093613859,-91.11096840251832
381.0921435926499,0.03290743032414518,-40.1992515513095,-90.64157153163967
399.0524629937762,0.0329835356385887,-39.74598729337183,-91.04399251029147
417.8592261708079,0.03298579168805631,-39.35992303774076,-90.37859931055004
437.5523247899108,0.03299318591397016,-38.93459220824034,-91.13103668515808
458.1735305535549,0.03291816884528371,-38.48312338900535,-90.81936407242171
479.7665838038982,0.03282815405599455,-38.05891066649916,-90.96050645762708
502.3772863019165,0.03319374155721908,-37.67793565161868,-90.92944776075221
526.0535983790769,0.03305639602206003,-37.23698078324553,-90.91620608186443
550.8457406676334,0.03312971471835672,-36.83793350357413,-91.03375783955005
576.8063006253217,0.0330867690013888,-36.38668334815462,-90.96183423832312
603.9903440804038,0.0332895957287893,-35.97638125819313,-90.98759775479904
632.4555320336763,0.03311002481004453,-35.55094439626073,-90.93713502266812
662.2622429651825,0.0329622436327822,-35.15312594879158,-91.0903285365672
693.4737009050633,0.03301834063744242,-34.7030005402333,-91.06143395870509
726.1561095402031,0.03340825259392734,-34.24884142144769,-91.00934097619196
760.3787926411225,0.03313900955171479,-33.82922265070972,-91.08627633304889
796.2143411069947,0.03379169078494213,-33.36356362039781,-91.23556111731189
833.7387669406713,0.0338009182979846,-32.9074149131376,-91.30104619427397
873.0316644803322,0.03358974942110006,-32.43894720764903,-91.41942744355762
914.1763792297504,0.03387460495285281,-31.99165697663004,-91.40987135191358
957.2601846452776,0.03375467644920609,-31.53032791535497,-91.50660519685653
1002.374467254545,0.03376903124345046,-31.05191161068785,-91.58088059275207
1049.614920499546,0.0340520002308526,-30.56649218416975,-91.63519437447034
1099.081747715249,0.03397884950887436,-30.07869324923141,-91.69234785611036
1150.879874674314,0.03432895255464773,-29.57631377704621,-91.83206007167072
1205.119172148716,0.03436780128459624,-29.0559296065465,-91.9237268483102
1261.914688960387,0.03457247993179553,-28.53154773333871,-92.03533573876658
1321.386896015193,0.03424627604257505,-27.98619101278883,-92.10902323856834
1383.661941837873,0.0350312517873729,-27.43948539626664,-92.29376598277473
1448.87192014998,0.0348528659528748,-26.8754166183849,-92.39254988748338
1517.155150058369,0.03532245772006178,-26.27692013372293,-92.60648007170097
1588.656469448563,0.03553909572245711,-25.65587991696091,-92.74998575386525
1663.527542205343,0.03597514701546662,-25.01105098286926,-92.98845200174728
1741.927179912161,0.03633213868066661,-24.33128201185086,-93.22422015036773
1824.02167871182,0.03688347301862572,-23.61087922281137,-93.45970376307903
1909.985172042873,0.03728471346274881,-22.85529940530484,-93.75550745498003
2000,0.03737529155013676,-22.03300585874792,-94.12982398905082
2094.2570961018,0.03781812666743581,-21.15868430225359,-94.53323176437596
2192.956392286371,0.03855040220970424,-20.211525818428,-95.09210987504152
2296.307242993766,0.03881526580657022,-19.15872757794352,-95.74988558082163
2404.528869234827,0.03954529053435288,-17.98576256925825,-96.54875749286023
2517.850823588335,0.03977123397236084,-16.65478851712669,-97.6475023515053
2636.513477112815,0.0409474355411047,-15.11527944042023,-99.19501454358499
2760.768529205771,0.04116328152010715,-13.26090910110303,-101.3764547277906
2890.879541491855,0.04188675974707407,-10.96359079809434,-104.9139639843329
3027.122496872418,0.04280527303701102,-7.94363000237952,-111.3357189639683
3169.786384922227,0.04333072482866203,-3.705734464744725,-126.5029455539183
3319.173814875122,0.04377630253098716,0.6656942276174515,-171.2292389379706
3475.601657498753,0.04606786002602835,-2.356699850186068,134.2187280889015
3639.401717219967,0.04663028401583129,-6.921119427370098,114.3328460235129
3810.921435926495,0.04766739666885491,-10.21387324628016,106.3955558744048
3990.524629937762,0.04814592842278028,-12.66719791015403,102.2946883610265
4178.59226170808,0.04952182036391793,-14.6318518299707,99.8169342942972
4375.523247899107,0.05063868453588863,-16.24547781331695,98.18287341177489
4581.735305535546,0.0518622151674208,-17.62746244436731,96.96378181249173
4797.665838038982,0.05307408900344274,-18.84012658455131,96.09998488370131
5023.772863019163,0.054115558946683,-19.92790760030296,95.37948743076689
5260.535983790764,0.05246667044903884,-20.89656849591579,94.79422586208051
5508.457406676334,0.05722100706358484,-21.77896428878411,94.36296724073331
